baseline,slice_num,phase,psnr,ssim,msssim,ssim_like,lpips
linear,25,10,23.806502012666378,0.5804753159671375,0.8055160045623779,0.8055160045623779,0.08992724120616913
linear,25,20,21.695662861114894,0.3884076920517148,0.609318196773529,0.609318196773529,0.12249787896871567
linear,25,30,21.618325883258564,0.39295294433264916,0.6114811301231384,0.6114811301231384,0.13658122718334198
linear,25,40,23.784499758124966,0.5727093778302085,0.7897535562515259,0.7897535562515259,0.09745942056179047
linear,25,10,24.74750190333787,0.5895581100800795,0.7976466417312622,0.7976466417312622,0.08311309665441513
linear,25,20,22.64230553014545,0.41688146967439693,0.6215816140174866,0.6215816140174866,0.11199131608009338
linear,25,30,22.48943300926523,0.40455461013229893,0.6145704388618469,0.6145704388618469,0.11827962845563889
linear,25,40,24.622653389579003,0.5831187659214345,0.7981669902801514,0.7981669902801514,0.08202780038118362
linear,12,10,24.236514139597958,0.5723193395737948,0.7800167798995972,0.7800167798995972,0.08907955884933472
linear,12,20,22.210897036826836,0.39280678489425647,0.5955016016960144,0.5955016016960144,0.11542104929685593
linear,12,30,22.12648565042015,0.381525567356076,0.5944003462791443,0.5944003462791443,0.11866950243711472
linear,12,40,24.3703852740085,0.5747886063278658,0.7902005314826965,0.7902005314826965,0.08463601768016815
linear,37,10,23.80166492042416,0.5702611719690057,0.7968086004257202,0.7968086004257202,0.08469633013010025
linear,37,20,21.574034228936775,0.374569743829229,0.5892930626869202,0.5892930626869202,0.12168557941913605
linear,37,30,21.202046103916476,0.36458734297325524,0.5836388468742371,0.5836388468742371,0.134487584233284
linear,37,40,23.603302111484883,0.5529576432701637,0.7783472537994385,0.7783472537994385,0.0980505645275116
linear,12,10,23.521001556701894,0.5764373479250567,0.7900311350822449,0.7900311350822449,0.09130102396011353
linear,12,20,21.424193157081774,0.3656121688539124,0.5834751725196838,0.5834751725196838,0.12514260411262512
linear,12,30,21.34279232511615,0.36552182558668506,0.585861325263977,0.585861325263977,0.13147495687007904
linear,12,40,23.401632739872838,0.5550261971206367,0.7769641876220703,0.7769641876220703,0.10383784025907516
linear,37,10,24.57876790597222,0.5725282879283082,0.7883280515670776,0.7883280515670776,0.08290120214223862
linear,37,20,22.491156962808013,0.3954227401334636,0.5978675484657288,0.5978675484657288,0.11018849909305573
linear,37,30,22.333805842291518,0.3808658298883126,0.5871164202690125,0.5871164202690125,0.11188212037086487
linear,37,40,24.53929908830621,0.5694763925454828,0.7860695123672485,0.7860695123672485,0.07924528419971466
linear,12,10,23.350282322776867,0.5586545049344066,0.7771292924880981,0.7771292924880981,0.09090633690357208
linear,12,20,21.179640196459253,0.35248922572024005,0.5609733462333679,0.5609733462333679,0.12289513647556305
linear,12,30,21.311331379754957,0.3475921466795973,0.5558123588562012,0.5558123588562012,0.12824583053588867
linear,12,40,23.557991697965992,0.5482876842256053,0.7704089283943176,0.7704089283943176,0.08818255364894867
linear,12,10,24.022865647639833,0.5611278337734713,0.7719965577125549,0.7719965577125549,0.0833846777677536
linear,12,20,22.014651884266602,0.38321020547164986,0.5857003331184387,0.5857003331184387,0.11351773142814636
linear,12,30,22.051552011278975,0.38063155045114977,0.5856384634971619,0.5856384634971619,0.11625299602746964
linear,12,40,23.921066373837576,0.5639502422589004,0.7725426554679871,0.7725426554679871,0.09266716986894608
linear,37,10,24.05114694458188,0.5544858024650362,0.7662609815597534,0.7662609815597534,0.08124890923500061
linear,37,20,22.077243825820773,0.37426719459588703,0.5673738121986389,0.5673738121986389,0.11404183506965637
linear,37,30,22.31438452819662,0.38660427249375556,0.5846329927444458,0.5846329927444458,0.11552739143371582
linear,37,40,24.19687143587194,0.5656421114937602,0.7766640186309814,0.7766640186309814,0.08632917702198029
linear,25,10,23.539271713394502,0.5709248579246513,0.7817667126655579,0.7817667126655579,0.08482443541288376
linear,25,20,21.278117161142337,0.3549054452180019,0.5511314272880554,0.5511314272880554,0.12421149015426636
linear,25,30,21.518126348256903,0.3594174577444697,0.5555707812309265,0.5555707812309265,0.12430354952812195
linear,25,40,23.794573047740496,0.5678472331466207,0.7805135846138,0.7805135846138,0.09045903384685516
linear,25,10,24.187349573325633,0.5676848747261903,0.7756878137588501,0.7756878137588501,0.08347265422344208
linear,25,20,22.11098005996867,0.3930340166313632,0.5859278440475464,0.5859278440475464,0.11787067353725433
linear,25,30,22.29901835604831,0.39592624466917686,0.5963163375854492,0.5963163375854492,0.11642586439847946
linear,25,40,24.30713341705391,0.5738312376374782,0.7833201885223389,0.7833201885223389,0.089176245033741
linear,37,10,23.415608870055795,0.557853824662284,0.7752194404602051,0.7752194404602051,0.0826180949807167
linear,37,20,21.201681208288473,0.3385264726168291,0.5369382500648499,0.5369382500648499,0.12082954496145248
linear,37,30,21.28576961827518,0.3408139242641358,0.5387798547744751,0.5387798547744751,0.1266014575958252
linear,37,40,23.55012786972845,0.550015372319913,0.7687616348266602,0.7687616348266602,0.08467978239059448
linear,25,10,23.89623484841998,0.5811243848811638,0.7871856689453125,0.7871856689453125,0.088046133518219
